<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
2/18/2021,INCI,925,930,915,925,48100
2/18/2021,INCO,6075,6225,5975,6200,19280000
2/18/2021,INDF,6175,6175,6050,6050,8654700
2/18/2021,INDO,117,120,117,120,57800
2/18/2021,INDO-W,23,23,23,23,0
2/18/2021,INDR,2950,3050,2950,3050,26100
2/18/2021,INDS,1870,1890,1865,1885,4500
2/18/2021,INDX,53,55,51,51,164700
2/18/2021,INDY,1455,1460,1425,1430,8990900
2/18/2021,INKP,14150,14375,13900,13925,4944400
2/18/2021,INOV,152,156,152,155,36000
2/18/2021,INPC,122,140,101,101,417089100
2/18/2021,INPC-W,15,21,8,8,330658800
2/18/2021,INPP,680,700,680,700,2107500
2/18/2021,INPS,6900,7100,6775,7075,13300
2/18/2021,INRU,1050,1050,1050,1050,200
2/18/2021,INTA,153,155,152,153,29100
2/18/2021,INTD,115,115,104,104,2600
2/18/2021,INTP,13600,13750,13475,13575,2291600
2/18/2021,IPCC,695,700,650,650,12077700
2/18/2021,IPCM,352,360,338,338,12519700
2/18/2021,IPOL,176,188,174,176,26192100
2/18/2021,IPTV,268,268,264,266,11563700
2/18/2021,IPTV-W,18,18,16,18,1013800
2/18/2021,IRRA,2470,2520,2400,2420,16036000
2/18/2021,ISAT,5675,5800,5550,5575,6714500
2/18/2021,ISSP,202,206,192,196,13210800
2/18/2021,ITIC,665,685,630,680,20183000
2/18/2021,ITMA,635,675,635,670,49700
2/18/2021,ITMA-W,63,68,45,58,56400
2/18/2021,ITMG,12550,12550,12100,12150,1990900
2/18/2021,JAST,226,248,222,228,65383500
2/18/2021,JAWA,88,88,82,82,205900
2/18/2021,JAYA,124,127,123,125,217000
2/18/2021,JAYA-W,1,1,1,1,0
2/18/2021,JECC,5800,5800,5800,5800,0
2/18/2021,JGLE,50,50,50,50,0
2/18/2021,JIHD,458,458,430,444,71800
2/18/2021,JKON,272,274,272,272,1011700
2/18/2021,JKSW,60,60,60,60,0
2/18/2021,JMAS,173,173,161,161,151700
2/18/2021,JPFA,1475,1480,1455,1475,5370400
2/18/2021,JRPT,560,560,535,560,4738400
2/18/2021,JSKY,180,182,175,176,14936100
2/18/2021,JSMR,4420,4470,4360,4370,3011600
2/18/2021,JSPT,835,835,835,835,9600
2/18/2021,JTPE,1230,1230,1225,1225,144500
2/18/2021,KAEF,3850,3930,3670,3670,12867300
2/18/2021,KARW,65,65,62,65,6400
2/18/2021,KAYU,64,65,63,64,1500000
2/18/2021,KBAG,50,50,50,50,4786400
2/18/2021,KBAG-W,4,4,3,4,1431900
2/18/2021,KBLI,382,384,374,384,503700
2/18/2021,KBLM,212,216,212,214,17200
2/18/2021,KBLV,352,372,352,358,4400
2/18/2021,KBRI,50,50,50,50,0
2/18/2021,KDSI,805,805,800,800,25900
2/18/2021,KEEN,318,324,314,324,2161900
2/18/2021,KEJU,1330,1350,1295,1350,66000
2/18/2021,KIAS,50,51,50,50,116500
2/18/2021,KICI,248,258,246,246,14200
2/18/2021,KIJA,197,200,185,186,64678500
2/18/2021,KINO,2280,2310,2270,2270,235100
2/18/2021,KIOS,665,830,620,775,2664200
2/18/2021,KJEN,1070,1350,1070,1250,26500
2/18/2021,KKGI,302,312,290,298,1421100
2/18/2021,KLBF,1525,1525,1490,1490,34834700
2/18/2021,KMDS,560,560,520,520,300
2/18/2021,KMTR,362,364,352,362,76300
2/18/2021,KOBX,116,117,114,115,54400
2/18/2021,KOIN,145,174,145,147,1795700
2/18/2021,KONI,246,246,246,246,0
2/18/2021,KOPI,555,560,530,560,44800
2/18/2021,KOTA,805,805,750,760,68662200
2/18/2021,KOTA-W,500,545,470,540,1300
2/18/2021,KPAL,50,50,50,50,25000
2/18/2021,KPAS,56,58,55,57,699400
2/18/2021,KPAS-W,18,19,16,16,328200
2/18/2021,KPIG,200,202,186,186,125376400
2/18/2021,KRAH,436,436,436,436,0
2/18/2021,KRAS,710,735,690,705,93532100
2/18/2021,KREN,77,78,76,77,6842700
2/18/2021,LAND,193,218,183,193,699900
2/18/2021,LAPD,50,50,50,50,0
2/18/2021,LCGP,114,114,114,114,0
2/18/2021,LCKM,300,300,298,298,300
2/18/2021,LEAD,50,50,50,50,64300
2/18/2021,LIFE,4130,4130,4130,4130,0
2/18/2021,LINK,2950,3050,2920,2930,3185600
2/18/2021,LION,348,348,348,348,600
2/18/2021,LMAS,50,50,50,50,19400
2/18/2021,LMPI,110,113,106,109,471700
2/18/2021,LMSH,318,324,318,324,300
2/18/2021,LPCK,1225,1240,1215,1225,379300
2/18/2021,LPGI,3300,3300,3220,3260,8100
2/18/2021,LPIN,258,258,258,258,500
2/18/2021,LPKR,199,204,199,200,51480500
2/18/2021,LPLI,98,98,87,88,68900
2/18/2021,LPPF,1265,1310,1235,1290,5703400
2/18/2021,LPPS,82,82,80,80,145600
2/18/2021,LRNA,177,190,170,170,2000
2/18/2021,LSIP,1320,1335,1310,1310,17421800
2/18/2021,LTLS,510,515,505,515,37700
2/18/2021,LUCK,134,134,130,131,453100
2/18/2021,MABA,50,50,50,50,0
2/18/2021,MAGP,50,50,50,50,0
2/18/2021,MAIN,695,700,675,685,7198400
2/18/2021,MAMI,50,50,50,50,79400
2/18/2021,MAMI-W,3,4,2,3,1046900
2/18/2021,MAMIP,600,600,600,600,0
2/18/2021,MAPA,2470,2480,2450,2460,261400
2/18/2021,MAPB,1300,1330,1300,1330,500
2/18/2021,MAPI,735,750,720,735,33491100
2/18/2021,MARI,123,164,122,164,521378400
2/18/2021,MARK,995,1030,995,1020,5601700
2/18/2021,MASA,1350,1350,1340,1340,1500
2/18/2021,MAYA,7425,7425,7200,7350,4700
2/18/2021,MBAP,2820,2830,2780,2810,67400
2/18/2021,MBSS,434,440,432,434,457900
2/18/2021,MBTO,116,116,108,108,123900
2/18/2021,MCAS,4200,4200,4060,4070,243500
2/18/2021,MCOR,148,152,146,146,71743400
2/18/2021,MDIA,56,74,55,56,29396000
2/18/2021,MDKA,2570,2730,2540,2650,188225600
2/18/2021,MDKI,250,256,248,248,1995100
2/18/2021,MDLN,51,51,51,51,0
2/18/2021,MDRN,50,50,50,50,3100
2/18/2021,MEDC,700,710,685,695,153884500
2/18/2021,MEGA,9900,11875,9900,11875,743300
2/18/2021,MERK,3180,3190,3090,3120,14400
2/18/2021,META,158,163,156,158,16955600
2/18/2021,MFIN,1045,1075,1045,1075,10100
2/18/2021,MFMI,595,600,590,590,27200
2/18/2021,MGNA,50,50,50,50,0
2/18/2021,MGRO,765,770,760,770,1847100
2/18/2021,MICE,294,294,294,294,81400
2/18/2021,MIDI,1940,1940,1910,1910,800
2/18/2021,MIKA,3090,3100,2910,2930,26220600
2/18/2021,MINA,61,61,61,61,663800
2/18/2021,MIRA,50,50,50,50,1000
2/18/2021,MITI,63,63,63,63,0
2/18/2021,MKNT,50,50,50,50,763900
2/18/2021,MKPI,27600,27600,27600,27600,0
2/18/2021,MLBI,9000,9175,8975,9175,7200
2/18/2021,MLIA,645,670,645,660,5147300
2/18/2021,MLPL,60,62,60,61,2787500
2/18/2021,MLPT,955,960,945,955,56500
2/18/2021,MMLP,348,350,324,330,11243000
2/18/2021,MNCN,1040,1055,1020,1030,28945400
2/18/2021,MOLI,1045,1045,1045,1045,10000
2/18/2021,MPMX,525,530,520,525,13461900
2/18/2021,MPOW,53,54,51,54,2121800
2/18/2021,MPPA,114,120,114,119,5390100
2/18/2021,MPRO,1190,1190,1190,1190,200
2/18/2021,MRAT,199,199,187,187,1312000
2/18/2021,MREI,4850,5000,4850,5000,2700
2/18/2021,MSIN,204,204,196,196,3776700
2/18/2021,MSKY,675,680,655,680,47400
2/18/2021,MTDL,1580,1605,1575,1600,1246800
2/18/2021,MTFN,50,50,50,50,3000
2/18/2021,MTLA,424,426,424,426,10900
2/18/2021,MTPS,104,106,100,101,897300
2/18/2021,MTRA,244,244,244,244,0
2/18/2021,MTSM,168,188,150,183,67800
2/18/2021,MTWI,69,78,69,72,18499700
2/18/2021,MYOH,1290,1315,1290,1315,113700
2/18/2021,MYOR,2520,2570,2510,2550,3721600
2/18/2021,MYRX,50,50,50,50,0
2/18/2021,MYRXP,50,50,50,50,0
2/18/2021,MYTX,55,55,50,51,3000
2/18/2021,NASA,104,104,104,104,0
2/18/2021,NATO,540,560,530,540,264588600
2/18/2021,NATO-W,400,400,400,400,0
2/18/2021,NELY,140,140,138,138,232200
2/18/2021,NFCX,2210,2210,2110,2210,2100
2/18/2021,NICK,298,298,280,280,200
